candidate_id,climate_dimension,confidence_score,digitalization_level,document_id,funding_program_code,funding_program_level,instrument_subtype,instrument_type,label_source,llm_model,llm_profile,llm_provider,measure_id,municipality_id,policy_area,snippet,source_scope,source_url,target_sector,title,url
bayreuth::doc4::p0,,0.0,,doc4,,,,,llm_dry_run,gpt-4o-mini,classification_baseline,openai,,bayreuth,,"Begleitung der Klimaschutzmaßnahmen des Klimaschutzkonzeptes innerhalb und außerhalb der Verwaltung Zentrale Steuerung, Moderation und Umsetzung kommunaler Aktivitäten und Projekte zum Klimaschutz zum Klimaschutz mit dem Ziel die Klimaneutralität 2040 für die Stadt Bayreuth zu erreichen Integration,",,https://www.bayreuth.de/rathaus-buergerservice/umwelt-klima/klimaschutz-und-energie/unser-team-das-klimaschutzmanagement-der-stadt-bayreuth/,,Unser Team: Das Klimaschutzmanagement der Stadt Bayreuth - Bayreuth.de,https://www.bayreuth.de/rathaus-buergerservice/umwelt-klima/klimaschutz-und-energie/unser-team-das-klimaschutzmanagement-der-stadt-bayreuth/
bayreuth::doc31::p0,,0.0,,doc31,,,,,llm_dry_run,gpt-4o-mini,classification_baseline,openai,,bayreuth,,"Mehr über die Kampagne: https:// www .fairtrade-towns.de/ Die S teuerungsgruppeF airtradeTown Bayreuth erreichenS ieüber fairtrade@ bayreuth.de Informationsangebote o Infos im Gemeindeblatt o Auslage von E ine-Welt-Informationen (Brot für die Welt, Misereor, Weltladen- Dachverband,Gepa, F airtrade-D",,https://www.bayreuth.de/wp-content/uploads/2023/11/Fairer-Handel-in-Gemeinde-und-Verein.pdf,,PowerPoint-Präsentation,https://www.bayreuth.de/wp-content/uploads/2023/11/Fairer-Handel-in-Gemeinde-und-Verein.pdf
bayreuth::doc22::p2,,0.0,,doc22,,,,,llm_dry_run,gpt-4o-mini,classification_baseline,openai,,bayreuth,,"Schauen Sie sich immer zuerst um , bevor Sie einen Radweg überqueren. Überqueren Sie die Straße an den dafür vorgesehenen Ampeln nur bei grün oder Fußgängerüberwegen , beachten Sie den Fahrzeugverkehr und achten Sie darauf, dass Sie beim Überqueren gut zu sehen sind. Quelle: AGFK-Bayern e. V. Flyer ",,https://www.bayreuth.de/rathaus-buergerservice/verkehr-oepnv/fahrradfahren-e-bike/,,"Fahrradfahren, E-Bike - Bayreuth.de",https://www.bayreuth.de/rathaus-buergerservice/verkehr-oepnv/fahrradfahren-e-bike/
bayreuth::doc25::p2,,0.0,,doc25,,,,,llm_dry_run,gpt-4o-mini,classification_baseline,openai,,bayreuth,,"Schauen Sie sich immer zuerst um , bevor Sie einen Radweg überqueren. Überqueren Sie die Straße an den dafür vorgesehenen Ampeln nur bei grün oder Fußgängerüberwegen , beachten Sie den Fahrzeugverkehr und achten Sie darauf, dass Sie beim Überqueren gut zu sehen sind. Quelle: AGFK-Bayern e. V. Flyer ",,https://www.bayreuth.de/rathaus-buergerservice/verkehr-oepnv/fahrradfahren-e-bike/#1560941853358-45e1a439-1bf78e8c-b857 #,,"Fahrradfahren, E-Bike - Bayreuth.de",https://www.bayreuth.de/rathaus-buergerservice/verkehr-oepnv/fahrradfahren-e-bike/#1560941853358-45e1a439-1bf78e8c-b857 #
bayreuth::doc1::p5,,0.0,,doc1,,,,,llm_dry_run,gpt-4o-mini,classification_baseline,openai,,bayreuth,,Ein weiteres Klimaschutzprojekt wird durch Sponsoring beim Fonds für Nachhaltigkeit und Klimaschutz der Europäischen Metropolregion Nürnberg unterstützt; dabei handelt es sich um ein Feuchtwiesenschutzprogramm in der Fränkischen Schweiz. Klimaschutzmanagement und Netzwerk Klimaschutz ist eine komple,,https://www.bayreuth.de/rathaus-buergerservice/umwelt-klima/klimaschutz-und-energie/,,Klimaschutz und Energie - Bayreuth.de,https://www.bayreuth.de/rathaus-buergerservice/umwelt-klima/klimaschutz-und-energie/
bayreuth::doc12::p0,,0.0,,doc12,,,,,llm_dry_run,gpt-4o-mini,classification_baseline,openai,,bayreuth,,"Energiedatenmanagement - Bayreuth.de Tourismus Bayreuth in Bildern Stellenangebote Gebärdensprache Start Rathaus, Bürgerservice Umwelt, Klima Klimaschutz und Energie Energie und Energieberatung Energiedatenmanagement Vorlesen Energiedatenmanagement Die Stadt Bayreuth betreibt seit Jahren ein gezielt",,https://www.bayreuth.de/rathaus-buergerservice/umwelt-klima/klimaschutz-und-energie/energie-und-energieberatung/energiedatenmanagement/,,Energiedatenmanagement - Bayreuth.de,https://www.bayreuth.de/rathaus-buergerservice/umwelt-klima/klimaschutz-und-energie/energie-und-energieberatung/energiedatenmanagement/
bayreuth::doc1::p7,,0.0,,doc1,,,,,llm_dry_run,gpt-4o-mini,classification_baseline,openai,,bayreuth,,"Umweltbildungsangebote Für Kindergärten, Grund- und weiterführende Schulen stellt die Stadt Bayreuth mehrere Klimaschutz-Bildungsangebote zur Verfügung. Weitere Informationen zum Umweltbildungsangebot. Klimafreundlich mobil Sei es das Fahrrad, der Bus, die Bahn, die Mitfahrzentrale oder das Car-Shar",,https://www.bayreuth.de/rathaus-buergerservice/umwelt-klima/klimaschutz-und-energie/,,Klimaschutz und Energie - Bayreuth.de,https://www.bayreuth.de/rathaus-buergerservice/umwelt-klima/klimaschutz-und-energie/
bayreuth::doc26::p3,,0.0,,doc26,,,,,llm_dry_run,gpt-4o-mini,classification_baseline,openai,,bayreuth,,Sanierung der Straßenbeleuchtung des Wohngebietes Richthofenhöhe auf LED-Technik Projektlaufzeit: 01.08.2017-14.12.2017 Projektziel: Förderung des Klimaschutzes Förderkennzeichen: 03K05109 Projektbeschreibung: Im Zuge des Förderprogramms „Investive Klimaschutzmaßnahmen – Sanierung der Außen- und Str,,https://www.bayreuth.de/rathaus-buergerservice/umwelt-klima/wetter/nationale-klimaschutzinitiative/,,Nationale Klimaschutzinitiative - Bayreuth.de,https://www.bayreuth.de/rathaus-buergerservice/umwelt-klima/wetter/nationale-klimaschutzinitiative/
guenzburg::doc42::p0,,0.0,,doc42,,,,,llm_dry_run,gpt-4o-mini,classification_baseline,openai,,guenzburg,,"Der Landschaftsplanerische Wettbewerb Realisierungswettbewerb „Brücken"" Das Bewerbungsverfahren Statements Abbrennverbot von Feuerwerkskörpern Wahlen Stellenausschreibung Stadtentwicklung (ISEK) Stadtrat Stadtrecht Familie & Jugend Kindertageseinrichtungen Kindertagespflege Schulen Familienstützpunk",,https://www.guenzburg.de/rathaus-buergerservice/familie-jugend/familienstuetzpunkt/,,Familienstützpunkt - Günzburg,https://www.guenzburg.de/rathaus-buergerservice/familie-jugend/familienstuetzpunkt/
guenzburg::doc68::p0,,0.0,,doc68,,,,,llm_dry_run,gpt-4o-mini,classification_baseline,openai,,guenzburg,,"Der Landschaftsplanerische Wettbewerb Realisierungswettbewerb „Brücken"" Das Bewerbungsverfahren Statements Abbrennverbot von Feuerwerkskörpern Wahlen Stellenausschreibung Stadtentwicklung (ISEK) Stadtrat Stadtrecht Familie & Jugend Kindertageseinrichtungen Kindertagespflege Schulen Familienstützpunk",,https://www.guenzburg.de/umwelt-mobilitaet/freiwilliges-oekologisches-jahr-foej/,,Freiwilliges Ökologisches Jahr (FÖJ) - Günzburg,https://www.guenzburg.de/umwelt-mobilitaet/freiwilliges-oekologisches-jahr-foej/
